Sentence,time,EventType,Polarity,Labeled
" Female business owners are cautiously optimistic about the economy, with many expecting to begin hiring in the next year, according to a survey out Tuesday.","Tue, Jun 14 2011 6:09 PM EDT.",market_prediction,,"<P_START/><S_START/>Tue, Jun 14 <DATE>2011</DATE> <TIME>6:09 PM EDT</TIME>.<S_END/> <S_START/>Female business owners are cautiously <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the economy</EVENT>, with many expecting to begin hiring in <DATE>the next year</DATE>, according to a survey out <DATE>Tuesday</DATE>.<S_END/><P_END/>"
"There are even strong figures out of Chicago, so everyone's getting enthusiastic about the US economy again, he added.","Fri, Jul 1 2011 4:03 AM EDT. ",market_prediction,,"<P_START/><S_START/><DATE>Fri, Jul 1 2011</DATE> <TIME>4:03 AM EDT</TIME>.<S_END/> <S_START/>There are even <POS_FIN_WORD>strong</POS_FIN_WORD> figures out of <GPE>Chicago</GPE>, so everyone's getting <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>enthusiastic</POS_FIN_WORD></SLOT> about the <GPE>US</GPE> economy</EVENT> again, he added.<S_END/><P_END/>"
Not everyone is as optimistic about the global economy as Biggs is.,"Fri, Aug 5 2011 12:35 PM EDT. ",market_prediction,,"<P_START/><S_START/><DATE>Fri, Aug 5 2011</DATE> <TIME>12:35 PM EDT</TIME>.<S_END/> <S_START/>Not everyone is as <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the global economy</EVENT> as <PERSON>Biggs</PERSON> is.<S_END/><P_END/>"
 Trader Zach Karabell is also cautiously optimistic about the market.,"Wed, Aug 17 2011 1:45 PM EDT.",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Aug 17</DATE> <TIME>2011 1:45 PM EDT</TIME>.<S_END/> <S_START/>Trader <PERSON>Zach Karabell</PERSON> is also cautiously <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the market</EVENT>.<S_END/><P_END/>"
" ""I'm excited about the market and adding to longs,"" Cortes says.","Tue, Aug 23 2011 1:34 PM EDT.",market_prediction,,"<P_START/><S_START/><DATE>Tue, Aug 23</DATE> 2011 <TIME>1:34 PM EDT</TIME>.<S_END/> <S_START/>""I'm <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>excited</POS_FIN_WORD></SLOT> about the market</EVENT> and adding to longs,"" <ORG>Cortes</ORG> says.<S_END/><P_END/>"
" Moorad Choudhry, head of business treasury at RBS told CNBC it would make little difference as there was little to be optimistic about the UK economy. [Quantitative Easing] did its job in the deflationary environment of 2009 to 2010, it is not going to make any difference.","Thu, Nov 24 2011 6:32 AM EST.",market_prediction,,"<P_START/><S_START/><DATE>Thu, Nov 24 2011</DATE> <TIME>6:32 AM EST</TIME>.<S_END/> <S_START/><PERSON>Moorad Choudhry</PERSON>, head of business treasury at <ORG>RBS</ORG> told <ORG>CNBC</ORG> it would make little difference as there was little to be <EVENT type=""market_prediction""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the <GPE>UK</GPE> economy</EVENT>.<S_END/> <S_START/>[Quantitative <NEG_FIN_WORD>Easing</NEG_FIN_WORD>] did <NEG_FIN_WORD normalized=""Easing"">its</NEG_FIN_WORD> job in the deflationary environment of <DATE>2009 to 2010</DATE>, it is not going to make any difference.<S_END/><P_END/>"
"Of the two dozen people I talked to, everyone said they planned to spend more this year than last year: some said they were feeling better about the economy, others said the discounts were just too deep to pass up.","Fri, Nov 25 2011 4:00 PM EST. ",market_prediction,,"<P_START/><S_START/><DATE>Fri, Nov 25 2011 4:00</DATE> <TIME>PM EST</TIME>.<S_END/> <S_START/>Of the <CARDINAL>two dozen</CARDINAL> people I talked to, everyone said they planned to spend <DATE>more this year</DATE> than <DATE>last year</DATE>: some said they were feeling <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>better</POS_FIN_WORD></SLOT> about the economy</EVENT>, others said the discounts were just too deep to pass up.<S_END/><P_END/>"
" A survey conducted by the National Venture Capital Association and Dow Jones VentureSource reveals that venture capitalists and CEOs, while still somewhat optimistic about the U.S. economy, are less certain about how much it will improve in the coming year.","Thu, Dec 15 2011 3:53 PM EST.",market_prediction,,"<P_START/><S_START/><GPE>Thu</GPE>, Dec 15 2011 <TIME>3:53 PM EST</TIME>.<S_END/> <S_START/><TICKER>A</TICKER> survey conducted by <ORG>the National Venture Capital Association</ORG> and <INDEX>Dow Jones</INDEX> VentureSource reveals that venture capitalists and CEOs, while still <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Emphasis"" normalized=""weak"">somewhat</SLOT> <SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about the <GPE>U.S.</GPE> economy</EVENT>, are less certain about how much it will improve in <DATE>the coming year</DATE>.<S_END/><P_END/>"
" But looking outside the U.S., the geopolitical landscape has become a bigger source of focus for U.S. investors, who are starting to feel a bit better about the U.S. economy and the investing environment at home.","Wed, Dec 21 2011 12:36 PM EST.",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Dec 21 2011</DATE> <TIME>12:36 PM EST</TIME>.<S_END/> <S_START/>But looking outside the <GPE>U.S.</GPE>, the geopolitical landscape has become a bigger source of focus for <GPE>U.S.</GPE> investors, who are starting to feel a bit <EVENT type=""market_prediction"" VerbTime=""present""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>better</POS_FIN_WORD></SLOT> about the <GPE>U.S.</GPE> economy</EVENT> and the investing environment at home.<S_END/><P_END/>"
" Wien told CNBC Wednesday he remains optimistic about a rising stock market in 2012, an improving U.S. economy and a Europe that manages to come up with a long-lasting plan to solve its financial problems.","Wed, Jan 4 2012 7:32 PM EST.",market_prediction,,"<P_START/><S_START/>Wed, <DATE>Jan 4 2012</DATE> <TIME>7:32 PM EST</TIME>.<S_END/> <S_START/><PERSON>Wien</PERSON> told <ORG>CNBC</ORG> <DATE>Wednesday</DATE> <PERSON normalized=""Wien"">he</PERSON> remains <EVENT type=""market_prediction"" VerbTime=""past""><SLOT name=""Pos_fin_word""><POS_FIN_WORD>optimistic</POS_FIN_WORD></SLOT> about a rising stock market</EVENT> in <DATE>2012</DATE>, an improving <GPE>U.S.</GPE> economy and a <LOC>Europe</LOC> that manages to come up with a long-lasting plan to solve <PERSON normalized=""Wien"">its</PERSON> financial <NEG_FIN_WORD>problems</NEG_FIN_WORD>.<S_END/><P_END/>"
